date,home_team,away_team,season_label,game_type
2026-08-05,Brighton,Orem,2026 Fall,preseason
2026-08-07,Brighton,Cedar,2026 Fall,preseason
2026-08-11,Brighton,Hillcrest,2026 Fall,preseason
2026-08-13,Cyprus,Brighton,2026 Fall,preseason
2026-08-17,Morgan,Brighton,2026 Fall,preseason
2026-08-20,Olympus,Brighton,2026 Fall,region
2026-08-25,Viewmont,Brighton,2026 Fall,region
2026-08-27,Woods Cross,Brighton,2026 Fall,region
2026-09-01,Brighton,Bountiful,2026 Fall,region
2026-09-03,Alta,Brighton,2026 Fall,region
2026-09-08,Skyline,Brighton,2026 Fall,region
2026-09-15,Brighton,Olympus,2026 Fall,region
2026-09-17,Brighton,Viewmont,2026 Fall,region
2026-09-22,Brighton,Woods Cross,2026 Fall,region
2026-09-24,Bountiful,Brighton,2026 Fall,region
2026-09-29,Brighton,Alta,2026 Fall,region
2026-10-01,Brighton,Skyline,2026 Fall,region
